,id,date,user,text,retweet,retweet_count,location,source,followers_count,friends_count,favourite_count,post_by
1416,1.42396645929475E+018,Sat Aug 07 11:17:14 +0000 2021,kartgirilog,"RT @itzz_iniyaa: #மங்களஇசை_கேட்டநாள்

 Lets celebrate the mode ✨✨✨

 https://t.co/xhjOVlEdwq",True,205,,Android,65,127,8733,itzz_iniyaa
1417,1.42396641924752E+018,Sat Aug 07 11:17:05 +0000 2021,AntonyPaulraj6,"RT @varsharmd65: Welcome on board 😎

#மங்களஇசை_கேட்டநாள் 🎇 https://t.co/8bJES85Rog",True,131,"Kozhippara,Palakkad ",Android,114,250,2031,varsharmd65
1418,1.42396640497851E+018,Sat Aug 07 11:17:01 +0000 2021,AntonyPaulraj6,"RT @venkateshaprabu: Thought of somebody posting this pic.. but didn't..

#மங்களஇசை_கேட்டநாள் https://t.co/VIxTHkWd6c",True,41,"Kozhippara,Palakkad ",Android,114,250,2031,venkateshaprabu
1419,1.42396639643045E+018,Sat Aug 07 11:16:59 +0000 2021,kartgirilog,RT @YnavSukirthan: 5000 Tweets  💥#மங்களஇசை_கேட்டநாள் https://t.co/WQ9KtEOnUA,True,130,,Android,65,127,8733,YnavSukirthan
1420,1.42396638904008E+018,Sat Aug 07 11:16:57 +0000 2021,AntonyPaulraj6,"RT @Tamil_AIADMK_45: Ready to tweets.... 🔥

#மங்களஇசை_கேட்டநாள் https://t.co/sScIVLqRSd",True,178,"Kozhippara,Palakkad ",Android,114,250,2031,Tamil_AIADMK_45
1421,1.42396636410494E+018,Sat Aug 07 11:16:51 +0000 2021,kartgirilog,"RT @Tamizhan_Neel: Upees today.. 🤣🤣

#மங்களஇசை_கேட்டநாள் https://t.co/KNAVSgsASF",True,146,,Android,65,127,8733,Tamizhan_Neel
1422,1.42396634102373E+018,Sat Aug 07 11:16:46 +0000 2021,kartgirilog,"RT @selvinnellai87: Trending India ✔️🔁

 #மங்களஇசை_கேட்டநாள்",True,229,,Android,65,127,8733,selvinnellai87
1423,1.42396631139521E+018,Sat Aug 07 11:16:39 +0000 2021,kartgirilog,"RT @ntknikaran: Trending 😌❤️
#மங்களஇசை_கேட்டநாள் https://t.co/ktVhneWRCM",True,183,,Android,65,127,8733,ntknikaran
1424,1.42396629714707E+018,Sat Aug 07 11:16:35 +0000 2021,AntonyPaulraj6,"RT @selvinnellai87: Let's celebrate The Day 😎

#மங்களஇசை_கேட்டநாள் https://t.co/dLI4PYpYKO",True,208,"Kozhippara,Palakkad ",Android,114,250,2031,selvinnellai87
1425,1.42396628935405E+018,Sat Aug 07 11:16:34 +0000 2021,kartgirilog,"RT @TamizhanThiruma: Happy death day bro🙂 

#மங்களஇசை_கேட்டநாள் https://t.co/1LelQN9Zap",True,240,,Android,65,127,8733,TamizhanThiruma
1426,1.42396628232447E+018,Sat Aug 07 11:16:32 +0000 2021,AntonyPaulraj6,RT @naanmathan: Common DP for #மங்களஇசை_கேட்டநாள் https://t.co/D3rujrsw8T,True,222,"Kozhippara,Palakkad ",Android,114,250,2031,naanmathan
1427,1.42396626402473E+018,Sat Aug 07 11:16:28 +0000 2021,kartgirilog,"RT @vivekbabu21: Tamils today
#மங்களஇசை_கேட்டநாள் https://t.co/B9bCRmMT0W",True,369,,Android,65,127,8733,vivekbabu21
1428,1.42396608098109E+018,Sat Aug 07 11:15:44 +0000 2021,maniajith8582,"RT @vivekbabu21: Tamils today
#மங்களஇசை_கேட்டநாள் https://t.co/B9bCRmMT0W",True,369,"Tamil Nadu, India",Android,116,744,6510,vivekbabu21
1429,1.42396599599611E+018,Sat Aug 07 11:15:24 +0000 2021,AntonyPaulraj6,"RT @itzz_iniyaa: #மங்களஇசை_கேட்டநாள்

 Lets celebrate the mode ✨✨✨

 https://t.co/xhjOVlEdwq",True,205,"Kozhippara,Palakkad ",Android,114,250,2031,itzz_iniyaa
1430,1.42396598674349E+018,Sat Aug 07 11:15:21 +0000 2021,TamBramMadras1,"RT @TamizhanThiruma: Happy death day bro🙂 

#மங்களஇசை_கேட்டநாள் https://t.co/1LelQN9Zap",True,240,I JUST LIKE&RETWEET4HINDUTVA,Web App,341,277,40965,TamizhanThiruma
